Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 4_level_0_MP
Maiara,br BRA,MF,21-030,,1,157.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.4,3.0,6.0,6.0,0.57,0.0,0.57,0.57,0.57,0.37,0.42,0.79,0.37,0.79,Matches,Angel City FC,7.0
Casey Phair,kr KOR,"FW,MF",18-073,,0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Angel City FC,5.0
Hannah Johnson,us USA,DF,22-202,,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Angel City FC,1.0
Sophia Mattice,us USA,"DF,MF",23-077,,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Angel City FC,3.0
Sara Doorsoun,de GER,DF,33-297,,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Angel City FC,1.0
Lily Nabet,us USA,MF,25-351,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Angel City FC,1.0
Bre Norris,us USA,GK,22-104,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Angel City FC,0.0
Ali Riley,nz NZL,"DF,MF",37-315,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Angel City FC,0.0
Hannah Stambaugh,jp JPN,GK,26-260,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Angel City FC,0.0
Squad Total,,,25.7,,209,1710.0,19.0,25.0,16.0,41.0,24.0,1.0,2.0,25.0,0.0,23.5,22.0,16.0,38.0,266.0,608.0,594.0,1.32,0.84,2.16,1.26,2.11,1.23,0.84,2.07,1.16,2.0,,Angel City FC,19.0
